Nombre,Estatus,Diferencia,Tiempo
"BANCOMEXT",false,N/A,26/08/2026 04:01:30
"BANK OF CHINA",false,N/A,26/08/2026 04:01:30
"BARCLAYS",false,N/A,26/08/2026 04:01:30
"COOPDESARROLLO",false,597 min,26/08/2026 04:01:30
"CRISTOBAL COLON",false,N/A,26/08/2026 04:01:30
"FINAMEX",false,N/A,26/08/2026 04:01:30
"FONDO (FIRA)",false,N/A,26/08/2026 04:01:30
"HIPOTECARIA FED",false,N/A,26/08/2026 04:01:30
"ICBC",false,N/A,26/08/2026 04:01:30
"INDEVAL",false,548 min,26/08/2026 04:01:30
"MASARI",false,N/A,26/08/2026 04:01:30
"MIZUHO BANK",false,N/A,26/08/2026 04:01:30
"MUFG",false,N/A,26/08/2026 04:01:30
"NAFIN",false,N/A,26/08/2026 04:01:30
"PPBALANCEMX",false,N/A,26/08/2026 04:01:30
"PROFUTURO",false,N/A,26/08/2026 04:01:30
"SHINHAN",false,N/A,26/08/2026 04:01:30
"VALMEX",false,N/A,26/08/2026 04:01:30
